rang,nom,equipe,is_goalie,valeur
35,Alex Lyon,BUF,1,20
36,Darcy Kuemper,LAK,1,18
37,Alex Nedeljkovic,SJS,1,18
38,Filip Gustavsson,MIN,1,17
39,Anton Forsberg,LAK,1,17
40,Thatcher Demko,VAN,1,16
41,Tristan Jarry,EDM,1,16
42,Anthony Stolarz,TOR,1,16
43,Justus Annunen,NSH,1,16
44,David Rittich,NJD,1,16
45,Jacob Fowler,MTL,1,15
46,Joseph Woll,PHI,1,15
47,Charlie Lindgren,WSH,1,15
48,Elvis Merzlikins,CBJ,1,14
49,Philipp Grubauer,SEA,1,14
50,Jordan Binnington,STL,1,13
